fecha,region,producto,ventas
2026-06-04,Norte,A,847
2026-06-04,Norte,A,1156
2026-06-04,Centro,B,611
2026-06-04,Norte,B,1008
2026-06-04,Norte,B,1726
2026-06-04,Norte,A,1819
2026-06-04,Centro,A,975
2026-06-04,Centro,C,1212
2026-06-04,Centro,A,1673
2026-06-04,Centro,B,937
2026-06-04,Sur,B,884
2026-06-04,Centro,B,1740
2026-06-04,Norte,B,1857
2026-06-04,Centro,A,505
2026-06-04,Norte,B,1258
2026-06-04,Norte,A,1327
2026-06-04,Centro,B,831
2026-06-04,Sur,A,1278
2026-06-04,Norte,A,789
2026-06-04,Centro,C,516
2026-06-04,Norte,B,1459
2026-06-04,Sur,A,1685
2026-06-04,Sur,B,1366
2026-06-04,Norte,C,708
2026-06-04,Norte,B,909
2026-06-04,Sur,C,668
2026-06-04,Norte,B,1081
2026-06-04,Centro,C,629
2026-06-04,Norte,B,1341
2026-06-04,Centro,B,1536
2026-06-04,Norte,C,1144
2026-06-04,Sur,C,1039
2026-06-04,Sur,B,1773
2026-06-04,Centro,A,1607
2026-06-04,Centro,B,1039
2026-06-04,Sur,A,1088
2026-06-04,Centro,A,991
2026-06-04,Norte,C,1700
2026-06-04,Centro,A,1810
2026-06-04,Norte,B,1807
2026-06-04,Norte,C,1963
2026-06-04,Norte,C,1292
2026-06-04,Norte,B,1771
2026-06-04,Norte,A,1055
2026-06-04,Sur,C,811
2026-06-04,Centro,A,818
2026-06-04,Sur,B,1779
2026-06-04,Norte,A,1313
2026-06-04,Norte,A,1056
2026-06-04,Centro,C,1340
2026-06-04,Centro,B,1089
2026-06-04,Centro,B,1738
2026-06-04,Norte,B,1675
2026-06-04,Centro,A,1636
2026-06-04,Sur,C,1390
2026-06-04,Sur,A,1066
2026-06-04,Norte,C,1932
2026-06-04,Norte,C,641
2026-06-04,Sur,A,1370
2026-06-04,Sur,A,854
2026-06-04,Centro,C,626
2026-06-04,Sur,B,1694
2026-06-04,Norte,A,745
2026-06-04,Sur,B,1262
2026-06-04,Norte,A,912
2026-06-04,Centro,A,1071
2026-06-04,Sur,C,1477
2026-06-04,Centro,B,506
2026-06-04,Sur,B,1562
2026-06-04,Centro,B,960
2026-06-04,Sur,C,1165
2026-06-04,Sur,C,1991
2026-06-04,Norte,A,737
2026-06-04,Centro,C,1952
2026-06-04,Centro,B,508
2026-06-04,Norte,B,1783
2026-06-04,Centro,A,1411
2026-06-04,Centro,C,1992
2026-06-04,Sur,A,1905
2026-06-04,Sur,C,543
2026-06-04,Sur,C,1252
2026-06-04,Sur,A,1132
2026-06-04,Centro,B,1710
2026-06-04,Norte,C,1475
2026-06-04,Sur,C,1576
2026-06-04,Sur,A,1944
2026-06-04,Centro,A,1447
2026-06-04,Sur,C,1770
2026-06-04,Norte,A,1499
2026-06-04,Sur,C,909
2026-06-04,Centro,A,1221
2026-06-04,Norte,A,1293
2026-06-04,Sur,B,1218
2026-06-04,Centro,C,1281
2026-06-04,Sur,C,1631
2026-06-04,Sur,C,1772
2026-06-04,Sur,B,1515
2026-06-04,Sur,A,797
2026-06-04,Sur,A,1777
2026-06-04,Centro,B,1023
2026-06-04,Centro,A,1443
2026-06-04,Sur,C,769
2026-06-04,Centro,C,749
2026-06-04,Norte,C,622
2026-06-04,Sur,B,1509
2026-06-04,Sur,B,1633
2026-06-04,Centro,A,1663
2026-06-04,Sur,A,1036
2026-06-04,Sur,B,1891
2026-06-04,Centro,A,1841
2026-06-04,Centro,B,1116
2026-06-04,Sur,A,1419
2026-06-04,Sur,B,580
2026-06-04,Norte,C,752
2026-06-04,Norte,C,1854
2026-06-04,Centro,A,607
2026-06-04,Centro,B,1330
2026-06-04,Centro,A,1658
2026-06-04,Centro,C,1056
2026-06-04,Centro,B,981
2026-06-04,Centro,A,1119
2026-06-04,Sur,C,1156
2026-06-04,Sur,C,810
2026-06-04,Norte,B,1866
2026-06-04,Centro,B,1918
2026-06-04,Norte,C,784
