fecha,region,producto,ventas
2026-06-01,Norte,B,1588
2026-06-01,Sur,B,952
2026-06-01,Norte,B,668
2026-06-01,Norte,C,1321
2026-06-01,Norte,B,714
2026-06-01,Norte,B,798
2026-06-01,Sur,A,1232
2026-06-01,Sur,A,1485
2026-06-01,Norte,A,1618
2026-06-01,Centro,C,1559
2026-06-01,Centro,C,567
2026-06-01,Sur,A,1660
2026-06-01,Centro,C,1233
2026-06-01,Centro,B,825
2026-06-01,Sur,C,1645
2026-06-01,Norte,C,885
2026-06-01,Norte,B,1882
2026-06-01,Norte,A,1953
2026-06-01,Norte,C,1814
2026-06-01,Sur,A,911
2026-06-01,Centro,A,1458
2026-06-01,Sur,C,1287
2026-06-01,Sur,C,1136
2026-06-01,Centro,B,1486
2026-06-01,Norte,A,1759
2026-06-01,Centro,B,1962
2026-06-01,Norte,C,789
2026-06-01,Sur,A,1679
2026-06-01,Centro,B,582
2026-06-01,Norte,A,1810
2026-06-01,Sur,A,1485
2026-06-01,Centro,A,1253
2026-06-01,Norte,B,1154
2026-06-01,Norte,B,1088
2026-06-01,Sur,B,1209
2026-06-01,Sur,A,1844
2026-06-01,Norte,B,809
2026-06-01,Centro,C,991
2026-06-01,Centro,A,843
2026-06-01,Centro,C,789
2026-06-01,Sur,B,719
2026-06-01,Centro,B,1674
2026-06-01,Norte,B,1913
2026-06-01,Norte,B,731
2026-06-01,Centro,A,1609
2026-06-01,Centro,B,852
2026-06-01,Sur,B,836
2026-06-01,Sur,B,1616
2026-06-01,Sur,C,510
2026-06-01,Norte,B,1091
2026-06-01,Sur,B,1591
2026-06-01,Centro,B,519
2026-06-01,Norte,A,1803
2026-06-01,Sur,A,1725
2026-06-01,Sur,C,1318
2026-06-01,Sur,B,1550
2026-06-01,Sur,A,1453
2026-06-01,Centro,B,1957
2026-06-01,Sur,C,1670
2026-06-01,Norte,B,612
2026-06-01,Sur,A,1066
2026-06-01,Norte,B,893
2026-06-01,Sur,A,1586
2026-06-01,Sur,B,1762
2026-06-01,Centro,A,1397
2026-06-01,Centro,A,1210
2026-06-01,Sur,A,510
2026-06-01,Sur,A,1533
2026-06-01,Sur,B,960
2026-06-01,Sur,A,1225
2026-06-01,Centro,B,1625
2026-06-01,Norte,B,1466
2026-06-01,Centro,C,1001
2026-06-01,Norte,A,815
2026-06-01,Sur,A,1563
2026-06-01,Norte,A,1841
2026-06-01,Sur,C,1906
2026-06-01,Norte,A,1201
2026-06-01,Centro,A,1361
2026-06-01,Sur,A,1504
2026-06-01,Centro,C,1086
2026-06-01,Norte,B,1213
2026-06-01,Sur,A,986
2026-06-01,Centro,B,806
2026-06-01,Norte,A,1633
2026-06-01,Sur,B,1252
2026-06-01,Sur,B,1595
2026-06-01,Sur,A,1426
2026-06-01,Norte,C,1108
2026-06-01,Sur,A,562
2026-06-01,Centro,A,1456
2026-06-01,Sur,C,858
2026-06-01,Centro,C,1491
2026-06-01,Norte,B,878
2026-06-01,Sur,C,1185
2026-06-01,Sur,C,881
2026-06-01,Norte,C,1009
2026-06-01,Norte,A,591
2026-06-01,Sur,A,1701
2026-06-01,Centro,C,1146
2026-06-01,Norte,B,1388
2026-06-01,Sur,B,1386
2026-06-01,Sur,C,890
2026-06-01,Sur,A,1482
2026-06-01,Sur,B,1851
2026-06-01,Sur,B,935
2026-06-01,Sur,C,601
2026-06-01,Norte,C,1890
2026-06-01,Norte,C,1627
2026-06-01,Sur,A,688
2026-06-01,Norte,A,632
2026-06-01,Norte,C,1196
2026-06-01,Centro,C,928
2026-06-01,Norte,B,1990
2026-06-01,Centro,B,539
2026-06-01,Centro,A,1413
2026-06-01,Sur,C,1179
2026-06-01,Sur,C,1493
2026-06-01,Norte,A,1263
2026-06-01,Sur,A,1510
2026-06-01,Centro,B,1297
2026-06-01,Centro,B,1279
