fecha,region,producto,ventas
2026-05-27,Sur,C,1122
2026-05-27,Sur,C,610
2026-05-27,Norte,B,1179
2026-05-27,Centro,B,906
2026-05-27,Sur,C,582
2026-05-27,Norte,A,1657
2026-05-27,Norte,A,1449
2026-05-27,Sur,B,1434
2026-05-27,Centro,B,1638
2026-05-27,Norte,A,758
2026-05-27,Sur,B,1002
2026-05-27,Norte,A,1405
2026-05-27,Norte,B,987
2026-05-27,Norte,C,964
2026-05-27,Norte,C,980
2026-05-27,Sur,A,1430
2026-05-27,Sur,B,1912
2026-05-27,Norte,B,1462
2026-05-27,Norte,A,1423
2026-05-27,Norte,A,1247
2026-05-27,Sur,C,1118
2026-05-27,Sur,C,1879
2026-05-27,Sur,C,714
2026-05-27,Norte,C,1138
2026-05-27,Sur,C,1641
2026-05-27,Norte,A,1091
2026-05-27,Sur,A,1960
2026-05-27,Centro,C,1035
2026-05-27,Centro,A,859
2026-05-27,Sur,B,876
2026-05-27,Sur,B,1155
2026-05-27,Sur,C,1914
2026-05-27,Centro,B,1462
2026-05-27,Centro,B,1108
2026-05-27,Norte,C,1225
2026-05-27,Centro,B,1896
2026-05-27,Sur,A,1741
2026-05-27,Centro,B,1648
2026-05-27,Norte,A,502
2026-05-27,Sur,B,1604
2026-05-27,Sur,A,1828
2026-05-27,Norte,C,967
2026-05-27,Norte,A,599
2026-05-27,Sur,C,748
2026-05-27,Sur,C,1213
2026-05-27,Norte,C,1710
2026-05-27,Sur,A,1930
2026-05-27,Sur,A,1205
2026-05-27,Norte,A,1530
2026-05-27,Sur,A,1196
2026-05-27,Sur,A,793
2026-05-27,Norte,C,874
2026-05-27,Sur,B,1843
2026-05-27,Sur,C,1887
2026-05-27,Centro,A,1077
2026-05-27,Norte,C,1658
2026-05-27,Norte,A,1113
2026-05-27,Centro,A,1840
2026-05-27,Norte,C,1028
2026-05-27,Sur,B,1212
2026-05-27,Centro,A,1061
2026-05-27,Centro,C,742
2026-05-27,Norte,A,1801
2026-05-27,Norte,A,937
2026-05-27,Sur,A,973
2026-05-27,Sur,B,652
2026-05-27,Centro,B,1669
2026-05-27,Centro,A,1206
2026-05-27,Centro,A,1375
2026-05-27,Norte,B,637
2026-05-27,Sur,B,1878
2026-05-27,Norte,A,1029
2026-05-27,Sur,C,1401
2026-05-27,Centro,A,607
2026-05-27,Centro,C,1618
2026-05-27,Centro,B,1174
2026-05-27,Centro,A,968
2026-05-27,Norte,A,1732
2026-05-27,Centro,B,610
2026-05-27,Centro,A,1714
2026-05-27,Sur,C,964
2026-05-27,Norte,A,1204
2026-05-27,Norte,C,578
2026-05-27,Sur,B,1003
2026-05-27,Norte,C,1270
2026-05-27,Sur,A,1883
2026-05-27,Centro,A,1185
2026-05-27,Centro,B,1202
2026-05-27,Norte,A,1464
2026-05-27,Sur,B,796
2026-05-27,Norte,B,1462
2026-05-27,Norte,C,1486
2026-05-27,Sur,C,1970
2026-05-27,Sur,C,1578
2026-05-27,Norte,B,730
2026-05-27,Sur,C,807
2026-05-27,Sur,B,1390
2026-05-27,Sur,C,958
2026-05-27,Norte,A,685
2026-05-27,Sur,C,1357
2026-05-27,Sur,C,589
2026-05-27,Sur,B,1778
2026-05-27,Sur,A,1576
2026-05-27,Norte,A,1725
2026-05-27,Sur,A,855
2026-05-27,Centro,B,1310
2026-05-27,Norte,A,1774
2026-05-27,Sur,C,1596
2026-05-27,Norte,A,767
2026-05-27,Centro,B,1655
2026-05-27,Centro,C,893
2026-05-27,Norte,A,1770
2026-05-27,Norte,C,1053
2026-05-27,Sur,B,1982
2026-05-27,Norte,C,1805
2026-05-27,Sur,C,1879
2026-05-27,Centro,C,713
2026-05-27,Centro,A,615
2026-05-27,Centro,B,1397
2026-05-27,Sur,C,1791
2026-05-27,Centro,A,1434
2026-05-27,Sur,C,569
2026-05-27,Sur,A,1115
2026-05-27,Norte,A,928
2026-05-27,Norte,A,1698
2026-05-27,Sur,A,714
2026-05-27,Norte,C,1904
2026-05-27,Sur,A,860
2026-05-27,Centro,A,1607
2026-05-27,Sur,A,1803
2026-05-27,Centro,A,1249
2026-05-27,Norte,B,1656
2026-05-27,Sur,A,664
2026-05-27,Centro,A,1526
2026-05-27,Norte,B,1496
2026-05-27,Norte,B,894
2026-05-27,Norte,C,1953
2026-05-27,Norte,A,1457
2026-05-27,Norte,B,948
2026-05-27,Norte,C,854
2026-05-27,Sur,B,1179
2026-05-27,Sur,A,884
2026-05-27,Centro,B,808
2026-05-27,Centro,A,760
2026-05-27,Sur,C,1894
2026-05-27,Centro,C,1733
2026-05-27,Centro,A,1882
2026-05-27,Sur,B,1623
2026-05-27,Norte,B,1838
2026-05-27,Centro,A,1555
2026-05-27,Sur,B,806
2026-05-27,Centro,C,1743
2026-05-27,Norte,A,994
2026-05-27,Centro,A,1091
2026-05-27,Norte,B,1905
2026-05-27,Centro,A,1366
2026-05-27,Centro,C,692
2026-05-27,Norte,B,578
2026-05-27,Sur,C,823
2026-05-27,Norte,A,1636
2026-05-27,Sur,C,1300
2026-05-27,Sur,A,1103
2026-05-27,Centro,A,666
2026-05-27,Norte,C,502
2026-05-27,Sur,A,1041
2026-05-27,Norte,C,971
2026-05-27,Centro,C,1596
2026-05-27,Sur,B,1698
2026-05-27,Centro,A,1664
2026-05-27,Sur,A,671
2026-05-27,Sur,A,654
2026-05-27,Norte,C,1776
2026-05-27,Centro,A,588
2026-05-27,Centro,C,1156
2026-05-27,Sur,C,1893
2026-05-27,Norte,A,1200
2026-05-27,Centro,A,965
2026-05-27,Sur,B,547
2026-05-27,Norte,B,1211
2026-05-27,Sur,B,1657
2026-05-27,Norte,C,1965
2026-05-27,Sur,A,1879
2026-05-27,Norte,A,1395
2026-05-27,Norte,B,647
2026-05-27,Centro,B,684
2026-05-27,Centro,C,627
2026-05-27,Sur,C,1191
2026-05-27,Sur,C,1019
2026-05-27,Sur,C,741
2026-05-27,Sur,B,625
2026-05-27,Centro,C,1944
2026-05-27,Norte,B,1047
2026-05-27,Centro,C,1056
2026-05-27,Sur,B,878
2026-05-27,Centro,C,966
2026-05-27,Centro,C,578
2026-05-27,Sur,C,1312
2026-05-27,Centro,C,1926
2026-05-27,Centro,B,1681
2026-05-27,Centro,A,1770
