fecha,region,producto,ventas
2026-06-11,Norte,C,1228
2026-06-11,Centro,C,1681
2026-06-11,Sur,B,1148
2026-06-11,Norte,C,520
2026-06-11,Sur,C,1854
2026-06-11,Centro,A,943
2026-06-11,Centro,B,1504
2026-06-11,Sur,C,717
2026-06-11,Sur,B,1229
2026-06-11,Centro,A,1597
2026-06-11,Centro,C,1461
2026-06-11,Sur,C,1841
2026-06-11,Centro,C,955
2026-06-11,Norte,B,1770
2026-06-11,Sur,C,1110
2026-06-11,Norte,A,1975
2026-06-11,Centro,B,1245
2026-06-11,Norte,B,1315
2026-06-11,Centro,A,1076
2026-06-11,Norte,C,1803
2026-06-11,Sur,A,1349
2026-06-11,Norte,A,1071
2026-06-11,Centro,B,1873
2026-06-11,Sur,C,1600
2026-06-11,Centro,A,677
2026-06-11,Sur,B,1711
2026-06-11,Norte,C,1517
2026-06-11,Norte,A,1253
2026-06-11,Norte,A,1917
2026-06-11,Centro,B,529
2026-06-11,Norte,B,1637
2026-06-11,Centro,A,672
2026-06-11,Norte,A,1090
2026-06-11,Centro,B,1265
2026-06-11,Norte,A,911
2026-06-11,Norte,B,984
2026-06-11,Norte,C,777
2026-06-11,Norte,A,1480
2026-06-11,Sur,C,802
2026-06-11,Sur,A,796
2026-06-11,Norte,B,1867
2026-06-11,Sur,B,989
2026-06-11,Sur,B,1924
2026-06-11,Sur,B,542
2026-06-11,Sur,B,1607
2026-06-11,Centro,B,1578
2026-06-11,Centro,C,1150
2026-06-11,Sur,C,1152
2026-06-11,Sur,B,1982
2026-06-11,Norte,B,564
2026-06-11,Centro,A,1479
2026-06-11,Norte,C,1996
2026-06-11,Norte,C,1127
2026-06-11,Norte,B,1442
2026-06-11,Norte,A,1495
2026-06-11,Centro,B,1421
2026-06-11,Centro,B,1570
2026-06-11,Sur,A,1391
2026-06-11,Sur,C,1055
2026-06-11,Sur,B,1738
2026-06-11,Centro,A,1324
2026-06-11,Sur,C,1775
2026-06-11,Norte,A,673
2026-06-11,Centro,C,1453
2026-06-11,Centro,B,1911
2026-06-11,Centro,A,1857
2026-06-11,Norte,B,545
2026-06-11,Centro,A,602
2026-06-11,Norte,C,1184
2026-06-11,Centro,A,1349
2026-06-11,Centro,B,1425
2026-06-11,Norte,C,1264
2026-06-11,Centro,A,659
2026-06-11,Sur,B,741
2026-06-11,Sur,A,993
2026-06-11,Centro,B,1301
2026-06-11,Centro,B,672
2026-06-11,Centro,B,992
2026-06-11,Centro,B,1350
2026-06-11,Sur,C,1917
2026-06-11,Norte,A,897
2026-06-11,Centro,C,1240
2026-06-11,Norte,A,1867
2026-06-11,Norte,C,1420
2026-06-11,Sur,A,1901
2026-06-11,Centro,B,1659
2026-06-11,Sur,A,1934
2026-06-11,Sur,A,1305
2026-06-11,Centro,A,1598
2026-06-11,Norte,B,772
2026-06-11,Norte,C,919
2026-06-11,Centro,C,1623
2026-06-11,Centro,A,1068
2026-06-11,Norte,B,623
2026-06-11,Sur,B,1586
2026-06-11,Centro,C,1854
2026-06-11,Centro,C,1939
2026-06-11,Sur,A,596
2026-06-11,Sur,A,1453
2026-06-11,Sur,B,1689
2026-06-11,Norte,C,1517
2026-06-11,Centro,A,1324
2026-06-11,Norte,A,1677
2026-06-11,Centro,B,1797
2026-06-11,Centro,B,1552
2026-06-11,Sur,C,1369
2026-06-11,Centro,A,705
2026-06-11,Norte,C,672
2026-06-11,Sur,C,847
2026-06-11,Sur,B,781
2026-06-11,Centro,A,1474
2026-06-11,Sur,B,1263
2026-06-11,Norte,A,1365
2026-06-11,Centro,B,774
2026-06-11,Sur,C,1861
2026-06-11,Centro,B,1681
2026-06-11,Norte,B,1332
2026-06-11,Sur,C,647
2026-06-11,Centro,B,1535
2026-06-11,Norte,C,659
2026-06-11,Sur,B,1375
2026-06-11,Norte,C,548
2026-06-11,Centro,B,1254
2026-06-11,Norte,B,1576
2026-06-11,Centro,B,722
2026-06-11,Sur,C,1321
2026-06-11,Sur,C,1282
2026-06-11,Sur,C,764
2026-06-11,Centro,A,1090
2026-06-11,Sur,C,806
2026-06-11,Norte,B,1937
2026-06-11,Norte,B,1903
2026-06-11,Centro,C,933
2026-06-11,Sur,C,511
2026-06-11,Norte,B,787
2026-06-11,Sur,C,1908
2026-06-11,Norte,B,1574
2026-06-11,Centro,C,1233
2026-06-11,Centro,A,1193
2026-06-11,Sur,C,1803
2026-06-11,Sur,C,1029
2026-06-11,Centro,B,1220
2026-06-11,Sur,C,1193
