fecha,region,producto,ventas
2026-05-22,Centro,A,1564
2026-05-22,Norte,C,1884
2026-05-22,Sur,A,1712
2026-05-22,Norte,C,1040
2026-05-22,Norte,A,681
2026-05-22,Norte,B,1959
2026-05-22,Sur,B,563
2026-05-22,Centro,B,679
2026-05-22,Norte,C,714
2026-05-22,Sur,C,1146
2026-05-22,Centro,B,1980
2026-05-22,Norte,C,795
2026-05-22,Sur,A,1663
2026-05-22,Centro,C,1594
2026-05-22,Centro,B,739
2026-05-22,Centro,A,1696
2026-05-22,Centro,C,1830
2026-05-22,Sur,C,1048
2026-05-22,Centro,A,1708
2026-05-22,Sur,A,1143
2026-05-22,Centro,B,1620
2026-05-22,Centro,B,1576
2026-05-22,Centro,C,777
2026-05-22,Centro,B,1171
2026-05-22,Centro,C,1283
2026-05-22,Centro,A,1409
2026-05-22,Centro,A,1439
2026-05-22,Sur,C,570
2026-05-22,Norte,A,1050
2026-05-22,Norte,B,1597
2026-05-22,Norte,C,1141
2026-05-22,Sur,A,904
2026-05-22,Sur,C,609
2026-05-22,Norte,A,1229
2026-05-22,Norte,C,1597
2026-05-22,Norte,C,1609
2026-05-22,Sur,B,1880
2026-05-22,Centro,A,1953
2026-05-22,Norte,A,1894
2026-05-22,Centro,C,1061
2026-05-22,Centro,C,1804
2026-05-22,Norte,C,1107
2026-05-22,Sur,C,1304
2026-05-22,Sur,C,1537
2026-05-22,Norte,C,626
2026-05-22,Centro,B,1275
2026-05-22,Centro,A,1339
2026-05-22,Sur,A,1313
2026-05-22,Centro,A,1069
2026-05-22,Norte,A,860
2026-05-22,Norte,C,878
2026-05-22,Norte,A,1063
2026-05-22,Norte,C,970
2026-05-22,Centro,C,794
2026-05-22,Centro,A,1766
2026-05-22,Centro,A,1425
2026-05-22,Norte,A,1172
2026-05-22,Centro,B,1701
2026-05-22,Norte,C,926
2026-05-22,Norte,A,1054
2026-05-22,Centro,A,568
2026-05-22,Norte,C,1820
2026-05-22,Centro,B,1070
2026-05-22,Norte,B,1721
2026-05-22,Sur,B,928
2026-05-22,Centro,B,1915
2026-05-22,Norte,A,1530
2026-05-22,Centro,B,1796
2026-05-22,Norte,A,640
2026-05-22,Norte,C,1561
2026-05-22,Norte,A,1784
2026-05-22,Sur,A,977
2026-05-22,Centro,B,1572
2026-05-22,Norte,C,1800
2026-05-22,Norte,C,643
2026-05-22,Centro,A,842
2026-05-22,Centro,C,1231
2026-05-22,Norte,A,1647
2026-05-22,Sur,C,676
2026-05-22,Norte,B,1309
2026-05-22,Norte,B,1631
2026-05-22,Norte,A,746
2026-05-22,Norte,A,1166
2026-05-22,Centro,C,661
2026-05-22,Centro,B,1418
2026-05-22,Norte,C,1242
2026-05-22,Sur,C,1883
2026-05-22,Norte,C,1353
2026-05-22,Norte,A,1389
2026-05-22,Norte,A,1650
2026-05-22,Centro,B,1918
2026-05-22,Centro,A,1807
2026-05-22,Norte,A,1921
2026-05-22,Sur,B,1339
2026-05-22,Norte,C,951
2026-05-22,Sur,A,1018
2026-05-22,Sur,A,980
2026-05-22,Sur,B,802
2026-05-22,Norte,C,1438
2026-05-22,Centro,A,896
2026-05-22,Norte,A,1525
2026-05-22,Centro,A,1155
2026-05-22,Norte,B,1236
2026-05-22,Sur,B,1000
2026-05-22,Sur,B,1968
2026-05-22,Centro,C,1205
2026-05-22,Norte,A,1782
2026-05-22,Centro,B,889
2026-05-22,Centro,B,1514
2026-05-22,Sur,C,1938
2026-05-22,Norte,C,857
2026-05-22,Centro,C,992
2026-05-22,Norte,B,1704
2026-05-22,Centro,C,1607
2026-05-22,Norte,C,642
2026-05-22,Norte,B,823
2026-05-22,Norte,C,812
2026-05-22,Centro,C,1680
2026-05-22,Centro,A,1719
2026-05-22,Centro,A,1689
2026-05-22,Norte,C,518
2026-05-22,Centro,C,644
2026-05-22,Sur,C,1644
2026-05-22,Centro,C,1664
2026-05-22,Norte,A,585
2026-05-22,Centro,A,1803
2026-05-22,Norte,B,1280
2026-05-22,Norte,A,1034
2026-05-22,Sur,C,1940
2026-05-22,Centro,C,982
2026-05-22,Sur,B,1424
2026-05-22,Centro,B,1311
2026-05-22,Sur,A,1146
2026-05-22,Norte,C,982
2026-05-22,Sur,B,1990
2026-05-22,Centro,C,657
2026-05-22,Centro,B,1173
2026-05-22,Centro,C,1828
2026-05-22,Norte,C,508
2026-05-22,Norte,B,1063
2026-05-22,Sur,A,666
2026-05-22,Centro,A,970
2026-05-22,Sur,C,1243
2026-05-22,Sur,B,1646
2026-05-22,Norte,C,774
