fecha,region,producto,ventas,promedio_producto,venta_sobre_prom_producto,promedio_region,venta_sobre_prom_region
2026-05-19,Centro,A,1813,1256.3965252938171,True,1247.875754527163,True
2026-05-19,Sur,C,1290,1249.1223587223587,True,1261.8334174659262,True
2026-05-19,Centro,B,711,1257.0174717368961,False,1247.875754527163,False
2026-05-19,Norte,C,1412,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Sur,C,1858,1249.1223587223587,True,1261.8334174659262,True
2026-05-19,Sur,B,667,1257.0174717368961,False,1261.8334174659262,False
2026-05-19,Sur,C,1586,1249.1223587223587,True,1261.8334174659262,True
2026-05-19,Norte,C,622,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,C,1137,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Centro,A,1408,1256.3965252938171,True,1247.875754527163,True
2026-05-19,Norte,A,1317,1256.3965252938171,True,1252.625190452006,True
2026-05-19,Norte,B,1551,1257.0174717368961,True,1252.625190452006,True
2026-05-19,Sur,C,602,1249.1223587223587,False,1261.8334174659262,False
2026-05-19,Centro,B,923,1257.0174717368961,False,1247.875754527163,False
2026-05-19,Centro,C,1024,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Sur,A,1755,1256.3965252938171,True,1261.8334174659262,True
2026-05-19,Centro,A,1711,1256.3965252938171,True,1247.875754527163,True
2026-05-19,Sur,C,1211,1249.1223587223587,False,1261.8334174659262,False
2026-05-19,Norte,C,951,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,C,1090,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Centro,C,1997,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Centro,A,1551,1256.3965252938171,True,1247.875754527163,True
2026-05-19,Centro,A,1707,1256.3965252938171,True,1247.875754527163,True
2026-05-19,Norte,A,1908,1256.3965252938171,True,1252.625190452006,True
2026-05-19,Norte,A,1734,1256.3965252938171,True,1252.625190452006,True
2026-05-19,Centro,C,859,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Sur,A,1983,1256.3965252938171,True,1261.8334174659262,True
2026-05-19,Sur,A,1991,1256.3965252938171,True,1261.8334174659262,True
2026-05-19,Norte,B,1262,1257.0174717368961,True,1252.625190452006,True
2026-05-19,Sur,B,1117,1257.0174717368961,False,1261.8334174659262,False
2026-05-19,Norte,A,1290,1256.3965252938171,True,1252.625190452006,True
2026-05-19,Centro,C,592,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Norte,C,525,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,B,1720,1257.0174717368961,True,1247.875754527163,True
2026-05-19,Norte,A,1968,1256.3965252938171,True,1252.625190452006,True
2026-05-19,Centro,C,1768,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Norte,B,1209,1257.0174717368961,False,1252.625190452006,False
2026-05-19,Norte,C,1097,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,C,1479,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Norte,C,1063,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,B,1120,1257.0174717368961,False,1247.875754527163,False
2026-05-19,Centro,A,758,1256.3965252938171,False,1247.875754527163,False
2026-05-19,Centro,A,557,1256.3965252938171,False,1247.875754527163,False
2026-05-19,Norte,A,1245,1256.3965252938171,False,1252.625190452006,False
2026-05-19,Norte,C,1361,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Centro,C,1316,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Norte,C,1979,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Centro,B,1727,1257.0174717368961,True,1247.875754527163,True
2026-05-19,Sur,A,1948,1256.3965252938171,True,1261.8334174659262,True
2026-05-19,Sur,C,678,1249.1223587223587,False,1261.8334174659262,False
2026-05-19,Centro,C,1046,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Norte,C,1646,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Centro,C,837,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Norte,C,1906,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Centro,C,889,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Norte,B,680,1257.0174717368961,False,1252.625190452006,False
2026-05-19,Centro,C,1444,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Norte,C,1880,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Centro,B,1935,1257.0174717368961,True,1247.875754527163,True
2026-05-19,Norte,C,1737,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Sur,B,1220,1257.0174717368961,False,1261.8334174659262,False
2026-05-19,Norte,A,1204,1256.3965252938171,False,1252.625190452006,False
2026-05-19,Norte,C,1437,1249.1223587223587,True,1252.625190452006,True
2026-05-19,Sur,B,1646,1257.0174717368961,True,1261.8334174659262,True
2026-05-19,Centro,C,1492,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Centro,C,733,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Norte,C,541,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,C,1792,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Norte,B,1768,1257.0174717368961,True,1252.625190452006,True
2026-05-19,Sur,C,1390,1249.1223587223587,True,1261.8334174659262,True
2026-05-19,Norte,A,1131,1256.3965252938171,False,1252.625190452006,False
2026-05-19,Centro,C,873,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Norte,C,1191,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,B,719,1257.0174717368961,False,1247.875754527163,False
2026-05-19,Norte,C,671,1249.1223587223587,False,1252.625190452006,False
2026-05-19,Centro,C,1272,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Norte,C,1250,1249.1223587223587,True,1252.625190452006,False
2026-05-19,Centro,A,1778,1256.3965252938171,True,1247.875754527163,True
2026-05-19,Norte,A,859,1256.3965252938171,False,1252.625190452006,False
2026-05-19,Centro,A,642,1256.3965252938171,False,1247.875754527163,False
2026-05-19,Centro,C,1114,1249.1223587223587,False,1247.875754527163,False
2026-05-19,Centro,A,793,1256.3965252938171,False,1247.875754527163,False
2026-05-19,Sur,C,758,1249.1223587223587,False,1261.8334174659262,False
2026-05-19,Centro,C,1434,1249.1223587223587,True,1247.875754527163,True
2026-05-19,Norte,C,638,1249.1223587223587,False,1252.625190452006,False
