fecha,region,producto,ventas,promedio_producto,venta_sobre_prom_producto,promedio_region,venta_sobre_prom_region,condicion_pago,fecha_cobro,estado_cobro,importe_cobrado,importe_incobrable
2026-05-19,Centro,A,1813,1253.6714546879082,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1813,0
2026-05-19,Sur,C,1290,1251.1022756328305,True,1249.6824307144673,True,CONTADO,2026-05-19,COBRADA,1290,0
2026-05-19,Centro,B,711,1247.0870221327968,False,1244.2462362847666,False,CONTADO,2026-05-19,COBRADA,711,0
2026-05-19,Norte,C,1412,1251.1022756328305,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1412,0
2026-05-19,Sur,C,1858,1251.1022756328305,True,1249.6824307144673,True,CONTADO,2026-05-19,COBRADA,1858,0
2026-05-19,Sur,B,667,1247.0870221327968,False,1249.6824307144673,False,CONTADO,2026-05-19,COBRADA,667,0
2026-05-19,Sur,C,1586,1251.1022756328305,True,1249.6824307144673,True,CONTADO,2026-05-19,COBRADA,1586,0
2026-05-19,Norte,C,622,1251.1022756328305,False,1257.9153726708075,False,CONTADO,2026-05-19,COBRADA,622,0
2026-05-19,Centro,C,1137,1251.1022756328305,False,1244.2462362847666,False,CONTADO,2026-05-19,COBRADA,1137,0
2026-05-19,Centro,A,1408,1253.6714546879082,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1408,0
2026-05-19,Norte,A,1317,1253.6714546879082,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1317,0
2026-05-19,Norte,B,1551,1247.0870221327968,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1551,0
2026-05-19,Sur,C,602,1251.1022756328305,False,1249.6824307144673,False,CONTADO,2026-05-19,COBRADA,602,0
2026-05-19,Centro,B,923,1247.0870221327968,False,1244.2462362847666,False,CONTADO,2026-05-19,COBRADA,923,0
2026-05-19,Centro,C,1024,1251.1022756328305,False,1244.2462362847666,False,CONTADO,2026-05-19,COBRADA,1024,0
2026-05-19,Sur,A,1755,1253.6714546879082,True,1249.6824307144673,True,CONTADO,2026-05-19,COBRADA,1755,0
2026-05-19,Centro,A,1711,1253.6714546879082,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1711,0
2026-05-19,Sur,C,1211,1251.1022756328305,False,1249.6824307144673,False,CONTADO,2026-05-19,COBRADA,1211,0
2026-05-19,Norte,C,951,1251.1022756328305,False,1257.9153726708075,False,CONTADO,2026-05-19,COBRADA,951,0
2026-05-19,Centro,C,1090,1251.1022756328305,False,1244.2462362847666,False,CONTADO,2026-05-19,COBRADA,1090,0
2026-05-19,Centro,C,1997,1251.1022756328305,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1997,0
2026-05-19,Centro,A,1551,1253.6714546879082,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1551,0
2026-05-19,Centro,A,1707,1253.6714546879082,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1707,0
2026-05-19,Norte,A,1908,1253.6714546879082,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1908,0
2026-05-19,Norte,A,1734,1253.6714546879082,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1734,0
2026-05-19,Centro,C,859,1251.1022756328305,False,1244.2462362847666,False,CONTADO,2026-05-19,COBRADA,859,0
2026-05-19,Sur,A,1983,1253.6714546879082,True,1249.6824307144673,True,CONTADO,2026-05-19,COBRADA,1983,0
2026-05-19,Sur,A,1991,1253.6714546879082,True,1249.6824307144673,True,CONTADO,2026-05-19,COBRADA,1991,0
2026-05-19,Norte,B,1262,1247.0870221327968,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1262,0
2026-05-19,Sur,B,1117,1247.0870221327968,False,1249.6824307144673,False,CONTADO,2026-05-19,COBRADA,1117,0
2026-05-19,Norte,A,1290,1253.6714546879082,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1290,0
2026-05-19,Centro,C,592,1251.1022756328305,False,1244.2462362847666,False,CONTADO,2026-05-19,COBRADA,592,0
2026-05-19,Norte,C,525,1251.1022756328305,False,1257.9153726708075,False,CONTADO,2026-05-19,COBRADA,525,0
2026-05-19,Centro,B,1720,1247.0870221327968,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1720,0
2026-05-19,Norte,A,1968,1253.6714546879082,True,1257.9153726708075,True,CONTADO,2026-05-19,COBRADA,1968,0
2026-05-19,Centro,C,1768,1251.1022756328305,True,1244.2462362847666,True,CONTADO,2026-05-19,COBRADA,1768,0
2026-05-19,Norte,B,1209,1247.0870221327968,False,1257.9153726708075,False,CONTADO,2026-05-19,COBRADA,1209,0
2026-05-19,Norte,C,1097,1251.1022756328305,False,1257.9153726708075,False,CONTADO,2026-05-19,COBRADA,1097,0
